,word,sentid,sentpos,wlen,surp,entropy,entred,RT
0,If,0,0,2,10.649815559387207,6.40224552154541,0.0,369.011904761905
1,you,0,1,3,6.857066631317139,5.779829025268555,0.6224164962768555,368.18390804597703
2,were,0,2,4,3.7183103561401367,7.244668960571289,0.0,344.318181818182
3,to,0,3,2,6.471822738647461,9.173545837402344,0.0,354.63953488372096
4,journey,0,4,7,15.1161470413208,7.195300102233888,1.9782457351684568,349.674157303371
5,to,0,5,2,2.690162181854248,6.352462768554688,0.8428373336791992,376.370786516854
6,the,0,6,3,0.8921386599540709,4.835890769958496,1.5165719985961914,327.3103448275861
7,North,0,7,5,7.05980110168457,9.552009582519533,0.0,365.49438202247205
8,of,0,8,2,8.453597068786621,2.9338865280151367,6.6181230545043945,344.9310344827589
9,"England,",0,19,8,9.722466826438904,8.112688779830933,0.0,400.2696629213479
10,you,0,11,3,9.288575172424316,6.1241207122802725,0.0,372.59090909090895
11,would,0,12,5,4.493847370147705,7.396939277648926,0.0,350.37931034482807
12,come,0,13,4,6.8122382164001465,7.030646800994872,0.3662924766540527,319.0804597701148
13,to,0,14,2,1.96565842628479,5.057583808898926,1.9730629920959477,355.9310344827589
14,a,0,15,1,4.074227809906007,7.632704257965088,0.0,343.85882352941195
15,valley,0,16,6,14.02657699584961,10.10838794708252,0.0,330.73255813953494
16,that,0,17,4,4.231013774871826,6.952706336975098,3.155681610107422,346.779069767442
17,is,0,18,2,5.970937728881836,7.052081108093263,0.0,360.28735632183896
18,surrounded,0,19,10,8.824409484863281,8.504568099975586,0.0,337.0465116279071
19,by,0,20,2,0.13246238231658936,0.7818904519081116,7.7226776480674735,359.36470588235295
20,moors,0,21,5,3.2680625915527344,6.856627941131593,0.0,395.4302325581398
21,as,0,22,2,8.130465507507324,5.890330314636231,0.9662976264953612,414.59770114942506
22,high,0,23,4,8.554876327514647,5.661089420318604,0.2292408943176269,390.9534883720929
23,as,0,24,2,0.6680053472518921,3.2795333862304688,2.3815560340881348,434.0361445783129
24,mountains.,0,51,10,18.100749731063846,11.525051593780518,2.1148514747619633,457.3452380952379
25,It,1,0,2,7.448396682739258,6.40224552154541,0.0,399.9285714285711
26,is,1,1,2,1.5563743114471436,3.4118902683258057,2.9903552532196045,325.24705882352913
27,in,1,2,2,6.6080894470214835,7.2167301177978525,0.0,318.26744186046506
28,this,1,3,4,6.28788948059082,6.555793762207031,0.6609363555908203,341.2235294117649
29,valley,1,4,6,15.625799179077148,7.0914878845214835,0.0,375.80000000000007
30,where,1,5,5,6.455262660980225,6.3763489723205575,0.7151389122009277,363.1294117647058
31,you,1,6,3,8.095870018005371,6.240006446838379,0.13634252548217773,365.4367816091949
32,would,1,7,5,8.191661834716799,8.116413116455076,0.0,323.5581395348841
33,find,1,8,4,6.609189987182617,7.590718269348144,0.5256948471069336,305.329411764706
34,the,1,9,3,3.0271728038787837,7.156641483306885,0.43407678604125977,355.857142857143
35,city,1,10,4,8.917389869689941,10.38133430480957,0.0,320.29885057471296
36,of,1,11,2,4.0254244804382315,6.4122700691223145,3.9690642356872563,418.43678160919524
37,"Bradford,",2,25,9,16.51951575279236,12.676547527313229,4.253971576690674,440.5764705882347
38,where,1,14,5,3.7528252601623535,6.57327127456665,0.0,377.3095238095239
39,once,1,15,4,11.374408721923828,5.446249485015869,1.1270217895507812,353.95402298850604
40,a,1,16,1,4.669407367706299,7.267029762268066,0.0,397.41379310344803
41,thousand,1,17,8,13.076061248779295,10.158960342407227,0.0,455.1395348837208
42,spinning,1,18,8,18.548564910888672,6.780142307281494,3.3788180351257324,459.02380952381
43,jennies,1,19,5,5.240232944488525,10.011730194091797,0.0,539.3176470588239
44,that,1,20,4,8.8023681640625,7.162289142608643,2.8494410514831543,538.5348837209301
45,hummed,1,21,5,5.635480880737305,7.7689104080200195,0.0,432.3139534883722
46,and,1,22,3,5.825375556945801,6.754800796508789,1.0141096115112305,407.4069767441859
47,clattered,1,23,5,1.8759688138961792,7.805229187011719,0.0,414.811764705882
48,spun,1,24,4,14.142326354980467,7.172156810760497,0.6330723762512207,453.96470588235303
49,wool,1,25,4,24.83019828796387,3.5324807167053223,3.6396760940551762,426.8720930232563
50,into,1,26,4,3.690539836883545,4.4397544860839835,0.0,392.5595238095239
51,money,1,27,5,13.287046432495115,5.166526317596436,0.0,384.2068965517241
52,for,1,28,3,5.337961673736572,2.82947039604187,2.337055921554565,385.471264367816
53,the,1,29,3,1.7565743923187256,7.2359256744384775,0.0,462.64705882352905
54,long-bearded,1,30,5,4.1759891510009775,10.339406967163086,0.0,441.19767441860483
55,mill,1,31,4,14.66031265258789,5.551966667175293,4.787440299987793,476.8690476190479
56,owners.,2,65,7,15.0092054605484,5.096251487731934,3.119215250015259,480.5862068965519
57,That,2,0,4,11.370271682739258,6.402242660522461,0.0,415.68965517241395
58,all,2,1,3,10.254125595092773,7.691478252410889,0.0,439.01149425287406
59,mill,2,2,4,20.745445251464844,6.411229610443115,1.2802486419677734,429.52873563218424
60,owners,2,3,6,10.003457069396973,9.871376037597656,0.0,381.528735632184
61,were,2,4,4,2.843031406402588,6.8242130279541025,3.0471630096435547,387.19767441860483
62,generally,2,5,9,10.534829139709473,9.451043128967283,0.0,378.540229885057
